
7월 18, 2018 10:49:13.54 NEW SESSION
7월 18, 2018 10:49:13.54 [3700:2644:0718/104913.524:ERROR:install_util.cc(589)] Unable to create registry key HKLM\SOFTWARE\Policies\Google\Chrome for reading result=2
7월 18, 2018 10:49:14.23 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.23 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.23 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.24 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.24 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.24 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.24 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.25 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.25 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.25 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.26 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.26 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.26 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.26 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.27 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.27 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.27 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.28 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.28 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.29 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.29 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.29 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.30 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.30 [3700:2644:0718/104914.110:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.30 [3700:2644:0718/104914.198:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:49:14.30 [3700:2644:0718/104914.198:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
7월 18, 2018 10:53:57.27 Unable to read VR Path Registry from C:\Users\user1\AppData\Local\openvr\openvrpaths.vrpath
7월 18, 2018 10:53:57.28 [3700:2644:0718/105357.279:ERROR:latency_info.cc(164)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
7월 18, 2018 11:53:47.37 [3700:4420:0718/115347.374:ERROR:connection_factory_impl.cc(403)] Failed to connect to MCS endpoint with error -106
7월 18, 2018 11:56:56.53 [5080:2668:0718/115656.532:ERROR:install_util.cc(589)] Unable to create registry key HKLM\SOFTWARE\Policies\Google\Chrome for reading result=2
7월 18, 2018 13:19:11.74 Unable to read VR Path Registry from C:\Users\user1\AppData\Local\openvr\openvrpaths.vrpath
7월 18, 2018 13:19:11.75 [5080:2668:0718/131911.748:ERROR:CONSOLE(4600)] "Connection is closed, can't dispatch pending Debugger.setBlackboxPatterns", source: chrome-devtools://devtools/bundled/shell.js (4600)
